record_id,student_id,academic_year,term,school_id,level,class,record_date,academic_scores
1,S2410001,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 79,
""pendidikan_pancasila"": 75,
""bahasa_indonesia"": 81,
""matematika"": 70,
""bahasa_inggris"": 80,
""fisika"": 78,
""kimia"": 79,
""biologi"": 75,
""IPS"": 79,
""sosiologi"": 80,
""ekonomi"": 77,
""geografi"": 71,
""pjok"": 77,
""informatika"": 75,
""seni_dan_prakarya"": 87
}"
2,S2410002,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 77,
""pendidikan_pancasila"": 73,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 73,
""fisika"": 73,
""kimia"": 70,
""biologi"": 73,
""sosiologi"": 79,
""ekonomi"": 73,
""geografi"": 77,
""pjok"": 77,
""informatika"": 72,
""seni_dan_prakarya"": 84
}"
3,S2410003,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 74,
""bahasa_indonesia"": 81,
""matematika"": 80,
""bahasa_inggris"": 96,
""fisika"": 81,
""kimia"": 84,
""biologi"": 79,
""sosiologi"": 75,
""ekonomi"": 81,
""geografi"": 80,
""pjok"": 86,
""informatika"": 88,
""seni_dan_prakarya"": 81
}"
4,S2410004,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 83,
""pendidikan_pancasila"": 75,
""bahasa_indonesia"": 76,
""matematika"": 70,
""bahasa_inggris"": 73,
""fisika"": 77,
""kimia"": 75,
""biologi"": 72,
""sosiologi"": 77,
""ekonomi"": 73,
""geografi"": 70,
""pjok"": 85,
""informatika"": 72,
""seni_dan_prakarya"": 75
}"
5,S2410005,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 87,
""pendidikan_pancasila"": 85,
""bahasa_indonesia"": 82,
""matematika"": 78,
""bahasa_inggris"": 83,
""fisika"": 70,
""kimia"": 83,
""biologi"": 74,
""sosiologi"": 72,
""ekonomi"": 84,
""geografi"": 87,
""pjok"": 86,
""informatika"": 81,
""seni_dan_prakarya"": 95
}"
6,S2410006,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 75,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 73,
""matematika"": 70,
""bahasa_inggris"": 73,
""fisika"": 70,
""kimia"": 73,
""biologi"": 70,
""sosiologi"": 78,
""ekonomi"": 76,
""geografi"": 82,
""pjok"": 79,
""informatika"": 72,
""seni_dan_prakarya"": 77
}"
7,S2410007,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 83,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 75,
""matematika"": 84,
""bahasa_inggris"": 89,
""fisika"": 74,
""kimia"": 77,
""biologi"": 83,
""sosiologi"": 86,
""ekonomi"": 78,
""geografi"": 86,
""pjok"": 83,
""informatika"": 87,
""seni_dan_prakarya"": 86
}"
8,S2410008,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 78,
""matematika"": 72,
""bahasa_inggris"": 81,
""fisika"": 79,
""kimia"": 73,
""biologi"": 77,
""sosiologi"": 78,
""ekonomi"": 85,
""geografi"": 89,
""pjok"": 88,
""informatika"": 77,
""seni_dan_prakarya"": 79
}"
9,S2410009,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 86,
""pendidikan_pancasila"": 89,
""bahasa_indonesia"": 88,
""matematika"": 93,
""bahasa_inggris"": 91,
""fisika"": 72,
""kimia"": 85,
""biologi"": 89,
""sosiologi"": 79,
""ekonomi"": 89,
""geografi"": 74,
""pjok"": 88,
""informatika"": 92,
""seni_dan_prakarya"": 93
}"
10,S2410010,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 79,
""pendidikan_pancasila"": 75,
""bahasa_indonesia"": 78,
""matematika"": 71,
""bahasa_inggris"": 81,
""fisika"": 73,
""kimia"": 75,
""biologi"": 77,
""sosiologi"": 74,
""ekonomi"": 78,
""geografi"": 71,
""pjok"": 79,
""informatika"": 76,
""seni_dan_prakarya"": 91
}"
